ccl_name_norm,cpd_name_norm,rep1,rep2,abs_diff,rel_diff
ncih1299,navitoclax,0.9375,0.9079999999999999,0.02950000000000008,0.1321587805210089
ncih1299,navitoclax:birinapant (1:1 mol/mol),0.9235625,0.5577625,0.3657999999999999,2.766548907088637
ncih1299,navitoclax:gemcitabine (1:1 mol/mol),0.80925,0.636375,0.172875,0.927190395435085
ncih1299,navitoclax:mst-312 (1:1 mol/mol),0.843,0.76175,0.08124999999999993,0.7950192510531822
ncih1299,navitoclax:piperlongumine (1:1 mol/mol),0.883,1.0339166666666666,0.1509166666666666,1.0831040931617248
ncih1299,navitoclax:pluripotin (1:1 mol/mol),0.6809375,0.55906875,0.12186874999999997,0.9502395998780241
ncih1299,navitoclax:plx-4032 (1:1 mol/mol),1.021125,0.8413125,0.17981250000000004,1.4697551457942934
ncih1299,navitoclax:sorafenib (1:1 mol/mol),0.9602,1.0556666666666665,0.09546666666666648,0.7877282260856332
ncih1299,necrostatin-1,0.879,0.905625,0.02662500000000001,0.4712645422645398
ncih1299,necrostatin-7,0.9285,1.1116666666666668,0.1831666666666668,2.4097916850380265
ncih1299,nelarabine,0.953,0.9715,0.018500000000000072,0.25691613006274455
ncih1299,neopeltolide,0.265125,0.5541214285714285,0.28899642857142854,1.5347941219429506
ncih1299,neratinib,0.8896875,0.952,0.06231249999999999,0.34435662528389976
ncih1299,neuronal differentiation inducer iii,0.9641333333333333,1.2681666666666667,0.3040333333333334,2.6770328654134725
ncih1299,niclosamide,0.6740625,0.6834375,0.009375000000000022,0.07578434388904942
ncih1299,nilotinib,0.959,0.9063125,0.0526875,0.5216500192308243
ncih1299,nintedanib,0.9196875,1.052,0.13231250000000006,1.0179859047505049
ncih1299,npc-26,0.9910666666666667,0.9977142857142857,0.006647619047619013,0.0752492033603421
ncih1299,nsc 74859,0.93525,0.8979375,0.03731249999999997,0.6034865511774754
ncih1299,nsc23766,0.9079375,0.9086875,0.0007500000000000284,0.008960780248590827
ncih1299,nsc30930,0.925625,0.9645333333333334,0.03890833333333332,0.29959173063570044
ncih1299,nsc48300,0.9118125,0.692125,0.21968750000000004,1.1243644522440457
ncih1299,nsc632839,1.1319166666666667,0.9633846153846153,0.1685320512820514,1.1332114316225022
ncih1299,nsc95397,0.918375,0.84825,0.0701250000000001,1.1762470818630422
ncih1299,nutlin-3,0.884375,0.8695,0.014874999999999972,0.10115831412122964
ncih1299,nvp-231,0.89975,0.7735,0.12625000000000008,0.842211245990959
ncih1299,nvp-adw742,0.9140666666666667,0.7898666666666667,0.12419999999999998,1.2788835147739288
ncih1299,nvp-bsk805,0.8800625,0.854,0.02606249999999999,0.4669237472708102
ncih1299,nvp-tae684,0.8650714285714286,0.889,0.02392857142857141,0.24637649785910626
ncih1299,obatoclax,0.676,0.62925,0.04675000000000007,0.5219311486971535
ncih1299,olaparib,0.9220625,0.7841875,0.13787499999999997,1.4067306048737722
ncih1299,oligomycin a,0.763625,0.46640000000000004,0.29722499999999996,1.3053558603981332
ncih1299,osi-027,0.853,0.716875,0.13612499999999994,1.4924397112592902
ncih1299,osi-930,0.9383333333333332,0.8580625,0.08027083333333329,0.8391074036975074
ncih1299,ouabain,0.4729625,0.2363,0.2366625,1.1284528328883843
ncih1299,oxaliplatin,1.2856666666666667,0.8170666666666667,0.4686,2.134248562326756
ncih1299,pac-1,0.839875,0.764875,0.07500000000000007,0.9308923537178058
ncih1299,pandacostat,0.975875,0.9268125,0.04906250000000001,0.8167124642387997
ncih1299,parbendazole,0.842,0.57996875,0.26203124999999994,1.5376050858251353
ncih1299,parthenolide,0.930625,1.0714285714285714,0.14080357142857136,0.9913926656711712
ncih1299,pazopanib,0.9450000000000001,0.8405,0.10450000000000004,0.8533506349057611
ncih1299,pd318088,0.75525,0.59675625,0.15849375,0.7822672283278359
ncih1299,pevonedistat,0.8494285714285714,0.7766153846153846,0.07281318681318683,0.35914130387898957
ncih1299,pf-184,0.822,0.73775,0.08424999999999994,0.5232579415924454
ncih1299,pf-543,0.9684,0.900625,0.06777500000000003,0.728764862120619
ncih1299,pf-573228,0.87,0.8619333333333333,0.008066666666666666,0.12988681449310088
ncih1299,pf-750,0.8429375,0.8666666666666667,0.02372916666666669,0.22770534268226622
ncih1299,pha-793887,0.8239375,0.6928125,0.13112499999999994,1.2531903059041212
ncih1299,phloretin,0.8894375,0.8726,0.01683749999999995,0.3230010715933301
ncih1299,pi-103,0.9035625,0.7944,0.10916250000000005,0.8764185629848852
ncih1299,pifithrin-alpha,0.9968666666666667,0.9778,0.019066666666666676,0.1600996126454151
ncih1299,pifithrin-mu,1.0175,0.7551875,0.26231250000000006,4.840460782053689
