drug,n_lines,spearman,pearson,true_std
ciclopirox,27,0.4157509157509158,0.3930475488791634,0.07814057541492327
decitabine-carboplatin (1-1 mol-mol),26,-0.019487179487179485,0.042331946520884844,0.08517713333520463
chir-99021,26,-0.05846153846153846,0.015746324960000793,0.10316207932999677
nsc23766,27,-0.152014652014652,-0.18759022274562737,0.08255375101416977
chm-1,26,0.28205128205128205,0.3560987772680153,0.10908927158434602
oxaliplatin,26,-0.20615384615384613,0.060509947148628174,0.09663827432340082
semagacestat,27,0.19108669108669107,0.19961753594123693,0.05351351090646987
pik-93,27,0.2277167277167277,0.03923073951657355,0.08009681022854535
rita,27,0.06166056166056166,0.03785464400878728,0.18147375172491595
bml-281,27,-0.043345543345543344,0.10126348523003098,0.08493124483229725
bibr-1532,27,-0.34615384615384615,-0.2367315648700774,0.07333708681103236
tipifarnib s enantiomer,27,-0.027472527472527472,-0.03393491586044088,0.08277844508363161
prochlorperazine,27,0.21428571428571427,0.4368340770693718,0.05807032555522823
plx-4032,27,0.3217338217338217,0.5269123224306723,0.08361180687256702
azd7762,27,0.45054945054945056,0.49091641735456465,0.12758513338286434
azd6482,27,0.020757020757020756,-0.11224878069476468,0.06254776898549874
sb-743921,27,0.2289377289377289,0.25725928478498206,0.23266449053966642
brd-k66453893,27,0.13614163614163613,0.14161123389141617,0.09727694392627464
piperlongumine,26,0.1788034188034188,0.019980949497211548,0.0919211039949598
stemregenin 1,27,-0.4517704517704518,-0.41826749270613306,0.0671351313029877
at7867,27,0.16971916971916973,0.21506807925806992,0.10285110937098718
schembl16273428,26,0.04136752136752136,0.060236709414706505,0.07554660005125712
brd1835,26,-0.23829059829059826,-0.1908925561643274,0.05199849308928786
parthenolide,27,0.07631257631257632,0.14142116940434257,0.11592438760516828
vorinostat,27,0.25579975579975583,0.15541113602273035,0.13106980862300188
5-fluorouracil,27,0.3833943833943834,0.3549036807610849,0.10387380870334602
vu0155056,27,-0.08302808302808302,-0.12035892771815238,0.05393998016990144
brd-a71883111,27,0.231990231990232,0.1779913049006358,0.052079165772459
pi-103,27,-0.12393162393162394,-0.08445881786339238,0.10673261231742512
bortezomib,27,0.2063492063492063,0.27853969821835856,0.10720648162797286
mk-0752,27,-0.115995115995116,-0.1317848693926733,0.05657247223531361
elocalcitol,26,0.2567521367521367,0.3261318253311209,0.08045207978249985
mim1,27,0.08058608058608058,0.0984829154235677,0.09945260440017889
entinostat,27,0.28083028083028083,0.30074104041153327,0.11897387868612738
sphingosine kinase 1 inhibitor ii,26,-0.27999999999999997,-0.22422612365748973,0.051863659394767975
brivanib,27,-0.16788766788766787,-0.20875169533952478,0.09566338949224651
olaparib,27,0.2655677655677655,0.17961581368407348,0.07172116262894773
su11274,27,-0.06349206349206347,-0.05005240490731652,0.07292297234918194
fingolimod,27,-0.018925518925518924,-0.13469737554794514,0.054893638709104374
betulinic acid,27,-0.10561660561660562,-0.187083383972246,0.05838997586420134
selumetinib-unc0638 (4-1 mol-mol),27,0.4627594627594628,0.560821885037821,0.15638467512328258
tretinoin-navitoclax (4-1 mol-mol),27,0.15018315018315015,0.14761474938399344,0.12861808582387274
tw-37,26,-0.02222222222222222,0.19474356947664084,0.12828315396214823
agk-2,27,-0.21062271062271062,-0.19836507499649544,0.057677238647830205
jq-1-carboplatin (1-1 mol-mol),27,0.052503052503052504,-0.05389850224701187,0.08944469333526804
i-bet-762,27,-0.047619047619047616,-0.20814225162907224,0.0858778707046791
icg-001,26,-0.16649572649572647,-0.21633809020544925,0.0893654205370072
idelalisib,27,0.23626373626373626,0.14619513817708568,0.06337922596090356
3-cl-ahpc,27,0.44566544566544564,0.4389739758634795,0.10926059249873543
barasertib,27,0.4029304029304029,0.47391363904610767,0.0741484375580038
brd-k13999467,26,0.31692307692307686,0.308196470450156,0.055980019052008424
regorafenib,26,-0.009914529914529914,-0.05018903003655517,0.08460532435780937
compound 23 citrate,25,0.29000000000000004,0.27212394692999575,0.05625171838654866
brd3308,26,0.38051282051282054,0.3516348537585368,0.057954368980244295
canertinib,26,0.5842735042735042,0.654945717719803,0.14324474307881985
pci-34051,27,-0.029914529914529916,-0.0029100961620900367,0.07098520781929568
brd-k85133207,27,-0.023809523809523808,0.16567744376076696,0.054699363614779686
brd-k80183349,27,-0.09584859584859586,0.05751892128091726,0.057031123874480665
brd-k71781559,26,0.14393162393162393,0.18515812777716822,0.07401688507157508
pl-di,27,0.07081807081807082,0.12126584049548342,0.05277152806612774
npc-26,26,0.07418803418803417,-0.045029712502743166,0.08406486510863495
platin,27,0.12087912087912088,0.11980714214958835,0.05038527506224869
navitoclax-sorafenib (1-1 mol-mol),27,-0.007326007326007325,0.1046628380980801,0.12631585628338685
saracatinib,26,0.22119658119658114,0.3117709901458562,0.0998494084266492
brd-k34222889,27,0.35836385836385837,0.3975462311997725,0.07070816954813876
isoevodiamine,27,0.2612942612942613,0.3732626825585018,0.07407303789425639
brd-k28456706,27,0.027472527472527472,-0.06974661843046218,0.07001386460631841
cr-1-31b,25,0.2323076923076923,0.10521447615131226,0.2014113695609628
n9-isopropylolomoucine,27,0.1111111111111111,0.06724140558246697,0.07632955037857844
selumetinib-plx-4032 (8-1 mol-mol),27,0.5494505494505495,0.6445704415387309,0.15648754841951376
ml320,26,0.11179487179487178,0.1027359167592501,0.10638625912590892
sb-431542,27,-0.45604395604395603,-0.42013188219613096,0.055448438666896686
dacarbazine,27,-0.03907203907203907,-0.12265890505514267,0.057160772349580495
jq-1-vorinostat (2-1 mol-mol),27,0.2612942612942613,0.058631421250400356,0.12818795770200242
ku 0060648,27,0.11843711843711843,0.05582724488517517,0.1141836077702401
snx-2112-bortezomib (250-1 mol-mol),27,0.2313797313797314,0.23161680227802844,0.1271018599832232
selumetinib-mk-2206 (8-1 mol-mol),27,0.39438339438339437,0.5148942714573352,0.12479635226282203
ki8751,27,-0.04456654456654456,0.07343029774525506,0.08631895088572425
vorinostat-carboplatin (1-1 mol-mol),27,-0.005494505494505494,-0.08007961436860447,0.09831023996486632
selumetinib-piperlongumine (8-1 mol-mol),27,0.44627594627594624,0.5695105183838379,0.1577374917724157
nakiterpiosin,26,0.1952136752136752,0.1994670504453155,0.11702130052260352
jq-1-navitoclax (2-1 mol-mol),26,0.02222222222222222,0.06394765146050545,0.12450453375430434
nutlin-3,27,0.1862026862026862,0.09231048104407041,0.08397600370031455
mls003179190,26,0.1029059829059829,0.08238121233740348,0.06978876626114418
nvp-adw742,27,0.199023199023199,0.17505835182471974,0.08592005508304203
nvp-bsk805,26,-0.17675213675213672,-0.04620749320919233,0.08930865729299822
serdemetan-sch-529074 (1-1 mol-mol),27,0.11477411477411475,0.20236098295929214,0.08030680078071596
jq-1-mk-0752 (1-1 mol-mol),27,-0.020146520146520144,0.09072558441008381,0.1390291254045934
tretinoin,27,-0.19597069597069594,-0.23175512754147543,0.06956634186794228
ku-55933,27,-0.03663003663003663,0.022283316403353237,0.07558443822374862
mitomycin-c,27,0.10683760683760683,0.13104206865348186,0.15418489303061794
stf-31,25,0.007692307692307692,0.11113199773185582,0.10924099102472111
navitoclax-birinapant (1-1 mol-mol),27,0.028083028083028084,-0.023318350858565068,0.1280371987684882
sunitinib,26,-0.1063247863247863,-0.33433901371071634,0.06160579341316333
tae684,27,0.17643467643467645,0.15677357808794223,0.09489504390338202
tamatinib,27,0.23321123321123322,0.35273526812901024,0.0881273661198222
sb-525334,27,0.3052503052503053,0.35421699512767457,0.07997504443823429
necrostatin-1,27,-0.12271062271062269,-0.17199803235026748,0.07029096821958575
tanespimycin,27,0.1221001221001221,0.07574565466862418,0.15863817719347248
tanespimycin-gemcitabine (1-1 mol-mol),27,0.24664224664224663,0.27883211984758866,0.15252447249376297
ml258,26,0.016068376068376067,-0.24530583560591088,0.058421720539831745
px-12,26,0.09333333333333332,0.07016741358686088,0.06535750458936934
neuronal differentiation inducer iii,26,-0.06188034188034188,-0.02336830325098704,0.11315630789786779
tivozanib,27,-0.08302808302808302,0.030046738073952216,0.07240221060807352
procarbazine,26,0.06666666666666665,0.015607918991379283,0.07149489330011827
pluripotin,27,0.6459096459096458,0.600612399368252,0.11607901770424982
selumetinib-tretinoin (2-1 mol-mol),27,0.48168498168498164,0.5423924339350672,0.17022545596336267
zstk474,27,0.09462759462759461,0.02807989242838748,0.09561441661312893
bexarotene,26,0.3333333333333333,0.20174118395131885,0.07607675739582623
hli 373,26,0.06598290598290597,-0.041221309262200884,0.055007377041809746
crizotinib,27,-0.045177045177045176,-0.04838574818453423,0.06781349290672349
brd-k14844214,27,0.15934065934065933,0.1768791907749636,0.0521471038834928
az-3146,27,-0.1452991452991453,-0.18307071594749333,0.07010499014761759
brd-k19103580,25,-0.039999999999999994,-0.04817008217709351,0.05045341331752144
bosutinib,25,0.023846153846153843,0.15424502194895445,0.07844594546739309
bms-754807,27,0.040903540903540904,0.09332586632862863,0.11102269820733274
bms-270394,27,-0.09157509157509157,0.030419145050861546,0.052731016707245566
fedratinib,27,0.20024420024420023,0.06494228620341469,0.09705134582364773
chlorambucil,27,0.19047619047619047,0.13421866321775155,0.08794664167714146
ch-55,26,0.33606837606837603,0.3169847967373323,0.080084439218819
i-bet-151,26,0.06393162393162392,0.03503381803261297,0.08306330037122349
cay10594,27,-0.18315018315018314,0.009167977182477041,0.06387213976355365
brd-k45681478,27,0.2875457875457875,0.39160629769363775,0.10984909297997032
brd-k50799972,26,0.23623931623931624,0.20885560822967317,0.06727760978689402
bix-01294,27,0.13064713064713065,0.26252853112645935,0.06688900571300704
brd-k02251932,26,0.06871794871794872,-0.090324607640869,0.06189665902821355
tamoxifen,27,0.052503052503052504,-0.039388665816775845,0.08288777264082409
