drug,n_lines,spearman,pearson,true_std
brd-k88742110,26,0.22709408340578474,0.22165865275396016,0.07618764332594852
mk-0752,27,-0.49209206768256764,-0.46623493880191486,0.06675783991003123
isoevodiamine,26,-0.1560364084970855,-0.15320390137062134,0.07291830694004187
docetaxel:tanespimycin (2:1 mol/mol),27,0.03206596763374853,0.007785529613256431,0.20022944068252052
lovastatin,26,-0.4332508295733035,-0.30571391137428694,0.0932813962714287
crizotinib:plx-4032 (2:1 mol/mol),27,-0.155384925846289,-0.20071610040304588,0.1042336259063082
navitoclax:plx-4032 (1:1 mol/mol),27,-0.22719028723831178,-0.16821192219077702,0.12435737113666542
ml050,26,-0.268988457946873,-0.15708558457464505,0.05485813164669307
le-135,26,-0.24200229304121662,-0.14610544689875282,0.08555539892784478
gsk525762a,27,-0.18973342512598462,-0.3111007850117981,0.09602362911197146
selumetinib:plx-4032 (8:1 mol/mol),27,0.06897672356579529,0.0995051438031131,0.14202472040485783
regorafenib,26,-0.2817831969117616,-0.37089697173549874,0.08775027691505533
pl-di,27,0.03189730875127082,-0.1320013419445684,0.06362880333355204
tg-100-115,27,0.10003081972973707,0.046296735611166,0.07133874387160564
su11274,27,-0.1407377118037481,-0.051165892648420586,0.0910840354626196
brd-k35604418,27,0.1638782206995526,0.21189287739028723,0.07241414611838154
brd-k34222889,27,-0.2782453101345588,-0.25899050848018373,0.07407179067674316
rg-108,27,0.2626147778948322,0.3450735816807394,0.05379554912638321
pifithrin-mu,26,-0.056445945156461536,-0.10102295324945848,0.05714103490664349
saracatinib,26,-0.004107481982353196,-0.0014935746542156375,0.09650781298947249
sb-431542,27,-0.13100336587464084,-0.1743858931521618,0.061707226532230576
brd-k24690302,26,0.36516527450739733,0.40898389288373366,0.06222320136583538
brd-k03536150,26,0.016475158374053358,0.06783845259592348,0.0756138624577926
selumetinib:unc0638 (4:1 mol/mol),27,0.0954422500173638,0.13776454758948137,0.14183764083729708
piperlongumine,25,-0.07696891492481849,-0.022763345147939075,0.06886952731501945
plx-4032,27,0.07316730775156012,0.10154231170394294,0.09926093037288687
azd7762,26,-0.2735777676813156,-0.2942742999690982,0.10247697384670428
axitinib,27,-0.1819680774089134,-0.09520188987116418,0.099699545318856
brd-k80183349,27,0.32144633112610094,0.2715164134555619,0.0677960096751758
obatoclax,25,0.22995437414777262,0.2070157478971263,0.09457023256700976
3-cl-ahpc,27,-0.2611225218185859,-0.27241653538179167,0.11910192335096922
agk-2,27,-0.21850859853774815,-0.09775950111952089,0.06233481768930094
way-362450,25,-0.029710019289969136,0.12746338298436943,0.051510529542641036
pi-103,26,-0.04276429328106502,-0.057811826424243984,0.12283524052502488
azd7545,27,-0.07036373487148437,-0.08123159110912176,0.09604150754679547
tanespimycin:gemcitabine (1:1 mol/mol),27,0.06700338888048007,-0.0283322037892159,0.16309001222825803
snx-2112:bortezomib (250:1 mol/mol),27,-0.013145842322334879,-0.1533320450937124,0.11257918018193715
tg-101348,27,-0.25736888331888735,-0.1671497688850624,0.09651096495284807
semagacestat,26,0.11804915115293844,0.17787138264776448,0.05604545642457946
hli 373,26,0.14902395305121208,0.11099685678319654,0.058482123143610204
cytarabine hydrochloride,25,-0.02122745341874662,0.02840054287322441,0.13192193311090017
i-bet151,25,-0.025253813613805267,-0.02731305612005678,0.0875633830129391
ski-ii,27,-0.19636068779120106,-0.3144538850217188,0.057007526174062066
bosutinib,27,0.01655951281305204,0.0352015554691979,0.07287809749371689
bms-754807,27,-0.13131362958616488,-0.061268931303283966,0.11082808898327758
iu1,27,0.065107810332553,-0.03490440320735287,0.05802934497298356
"1s,3r-rsl-3",26,-0.4738283695542004,-0.4073266697934597,0.1924517099473146
tanespimycin,27,0.033805320876045424,0.048961462945145445,0.1510543409922418
spautin-1,26,-0.1642568903758375,-0.1872005677067208,0.09489103987173865
bix-01294,26,0.09883526963965356,0.1305440725898786,0.08086987655564054
stemregenin 1,27,0.033518747998286545,-0.006773705896970711,0.06406033793589637
ku-55933,27,0.20397612267975643,0.23619429058609073,0.07916748331068484
ku-0063794,26,-0.07057226282425214,-0.081145173840277,0.08837659804392538
gant-61,26,0.14278470590846243,0.2114500482693557,0.08196240587723416
ku 0060648,27,-0.3831810731667856,-0.3713768714400992,0.10748633975821434
entinostat,27,0.19201984040055267,0.15454471889261026,0.11970734949229696
tretinoin,27,0.05168996298553423,0.025479119494623476,0.06825565085878538
ipr-456,26,0.2326491389097892,0.23809928656425905,0.05376053905776309
cr-1-31b,24,0.20839682488569153,0.10103770417245667,0.15289939590819465
tamatinib,27,-0.14690179774367054,-0.06081361548333146,0.10142196372236538
crizotinib,27,-0.23205363713674718,0.026423519376586005,0.09024698629309615
nvp-bsk805,25,-0.05801898352114585,-0.04335478188808792,0.08192769769812173
navitoclax:birinapant (1:1 mol/mol),27,-0.13290564703027055,-0.09416414505915624,0.10212160575042772
chir-99021,26,-0.12041213974846908,-0.07585817200563041,0.0916843864680496
mst-312,26,0.09792253458438722,0.09860603336312515,0.06665164244700454
prochlorperazine,27,0.2240632209484568,0.16518646812392856,0.10252584092012644
n9-isopropylolomoucine,27,-0.20138467516479608,-0.1949758527248437,0.07207750328860427
pluripotin,27,-0.22354777692332026,-0.20679527890142232,0.10339969171587418
canertinib,25,0.040423502842238467,-0.04525609090099722,0.12816376699077076
cal-101,27,-0.24459979523511427,-0.2049922957445482,0.06057637478157155
navitoclax:sorafenib (1:1 mol/mol),27,0.12178060785235402,0.08559207567817914,0.09965527457100865
necrostatin-1,27,0.28457829426874615,0.22340144757453329,0.0676861473902433
brd-k50799972,26,-0.10314761134687829,-0.19053494433459087,0.06909252294668246
phloretin,26,-0.06399579146614427,-0.10798841669194201,0.050310635800106834
brd-k64610608,26,-0.06927678542926184,-0.051396274295049185,0.06697164568932078
niclosamide,27,0.022237479499833034,-0.004265696662595575,0.10667861010689471
oxaliplatin,26,-0.052985762826807614,-0.011605075067722515,0.08567814117510153
olaparib,26,-0.20010328881648182,-0.21191626164842917,0.07252505710612484
nvp-tae684,26,-0.24379416031627354,-0.16926095658278212,0.0947185536667858
nutlin-3,27,-0.11296650882571713,0.002590311087493455,0.07444224834370036
ch-55,25,0.10199057578974581,0.05856544527652845,0.08147570125681579
zstk474,27,-0.17293010625088076,-0.16654832150581525,0.10590904385442217
chlorambucil,27,-0.11335860924203632,-0.2486881979190248,0.09661936185560695
brd-k13999467,26,0.08361706842899483,0.18873903852983656,0.057421963275663096
selumetinib:mk-2206 (8:1 mol/mol),27,0.08841999719844175,0.16605728121683988,0.12727234271562307
sb-525334,26,0.40446724446118953,0.42138445174592,0.0823275404300794
