rep,seed,drug,cell_line,n_cells,r2_confounds,r2_confounds_adj,rho_total_counts,rho_genes_detected,rho_mito_fraction,rho_cell_cycle_G1S,rho_cell_cycle_G2M
X_pca,42,doxorubicin,LMSU_STOMACH,255,0.10096519676817617,0.08291228907275805,0.13190713293191292,0.11465647385444193,-0.09153181449745253,-0.055369389499980014,0.25084245293602114
X_pca,42,doxorubicin,LNCAPCLONEFGC_PROSTATE,129,0.1366941499226616,0.10160041617968041,0.0849619856887299,0.13763715568712528,0.004142441860465117,0.146429614650632,0.10310465602541675
X_pca,42,doxorubicin,LS1034_LARGE_INTESTINE,146,0.1084983852278455,0.07665904184312577,0.31676931812390546,0.2616366728279111,0.1314933531277414,0.10188360209036337,0.19237183728720314
X_pca,42,doxorubicin,LS180_LARGE_INTESTINE,361,0.20709775963425292,0.19593012244600294,0.3071728827739602,0.3143104162260767,0.049802319115613974,-0.22478343385560146,0.03767114486801085
X_pca,42,doxorubicin,MCF7_BREAST,143,0.08450743597611898,0.05109529860298456,0.24248169670704883,0.15416073312095543,-0.0802102826750714,-0.035371609144705225,0.1430865214657843
X_pca,42,doxorubicin,MDAMB361_BREAST,135,0.06425232594489338,0.027983036252835047,-0.017047158928835522,0.008406599437258471,0.0661593990830163,0.09860025680460067,-0.01825449472816083
X_pca,42,doxorubicin,MFE319_ENDOMETRIUM,191,0.282183678850768,0.26278323773862655,0.2282068062827225,0.3009606657497329,0.2680938275006889,0.16772476862804225,0.38537436406388736
X_pca,42,doxorubicin,MKN45_STOMACH,118,0.1780863018384642,0.1413937260276813,0.1611904214097634,0.1756090256870159,0.07504592449756955,0.19379472675701342,-0.11213693817702723
X_pca,42,doxorubicin,MKN7_STOMACH,258,0.039228751318196364,0.020165829717366912,-0.16135753887993504,-0.13585649380707782,0.1635083252131483,0.03235409362058671,-0.010989784618758963
X_pca,42,doxorubicin,MSTO211H_PLEURA,297,0.0046781510127749115,-0.01242359896982359,0.006870354972539123,-0.03493951841936585,0.03296295074818565,-0.07852103918202315,-0.037493892118245574
X_pca,42,doxorubicin,NCIH1299_LUNG,534,0.09193637479983896,0.08333728743998892,0.22089148728772423,0.24108000699739937,0.04953816759227536,-0.059442835933849594,0.023186367003659725
X_pca,42,doxorubicin,NCIH1373_LUNG,164,0.14536061731283767,0.11831506722780094,0.11446146563295237,0.08772337916210578,0.01963462244773033,-0.22173507907331458,0.30313694310098427
X_pca,42,doxorubicin,NCIH1435_LUNG,267,0.02561388961712785,0.006947489035080356,0.028352170000802267,0.011385077217395423,-0.09439792479657326,-0.07331536745019675,-0.031133449536749267
X_pca,42,doxorubicin,NCIH1792_LUNG,111,0.12130910641113934,0.07946668290690784,-0.03947876447876448,0.016892003062864043,-0.05687960687960687,0.05748520859352327,0.1234081480906953
X_pca,42,doxorubicin,NCIH1944_LUNG,414,0.06359598912602404,0.05212044977707819,0.10848339319662156,0.1382084538723148,0.031186626704734512,0.15632355861538494,0.11983557746084093
X_pca,42,doxorubicin,NCIH2087_LUNG,219,0.02222971934175555,-0.000722634664306554,0.037924308477473787,0.04949162786195894,0.006331760485335954,0.022846768868217,-0.10525711462180287
X_pca,42,doxorubicin,NCIH2110_LUNG,1990,0.02636842851330834,0.023914719915811622,-0.0645055003709231,-0.07072431880737995,0.06185107899402069,-0.007103971700450954,-0.12922365056695603
X_pca,42,doxorubicin,NCIH2126_LUNG,264,0.11837166564502577,0.10128584521178985,-0.07822983229360372,-0.09512543648118897,0.06871498542350109,0.030313020736684383,-0.26395540817528307
X_pca,42,doxorubicin,NCIH2170_LUNG,142,0.008939887679855874,-0.02749614586132587,0.013405547679602826,0.02769133404189129,-0.011607511457676276,-0.055554507753181326,0.006318238018413252
X_pca,42,doxorubicin,NCIH2228_LUNG,367,0.11049138108979051,0.09817131711596494,0.018767569751142323,0.05417746416269679,0.0811910979726625,0.006250969165449159,0.26725320053133533
X_pca,42,doxorubicin,NCIH226_LUNG,235,0.08709229285853992,0.06715981016986172,0.05760264159091557,0.043563943538863704,-0.005623826828298519,-0.15087657572527013,-0.2752718586725233
