rep,seed,drug_a,drug_b,cell_line,n_cells,rho
X_scGPT,43,imatinib,afatinib,GOS3_CENTRAL_NERVOUS_SYSTEM,191,-0.5888864012124553
X_scGPT,43,imatinib,afatinib,HCC1428_BREAST,127,-0.295943475815523
X_scGPT,43,imatinib,afatinib,HCC366_LUNG,202,-0.05315348827728887
X_scGPT,43,imatinib,afatinib,HCC38_BREAST,200,-0.36139803495087386
X_scGPT,43,imatinib,afatinib,HCC56_LARGE_INTESTINE,99,0.5694867037724181
X_scGPT,43,imatinib,afatinib,HDQP1_BREAST,64,0.7308150183150182
X_scGPT,43,imatinib,afatinib,HEC151_ENDOMETRIUM,250,0.32795622329957275
X_scGPT,43,imatinib,afatinib,HEC251_ENDOMETRIUM,107,0.6285781461235526
X_scGPT,43,imatinib,afatinib,HEC6_ENDOMETRIUM,161,0.5378910743041179
X_scGPT,43,imatinib,afatinib,HEP3B217_LIVER,118,0.26345505607718966
X_scGPT,43,imatinib,afatinib,HMC18_BREAST,293,-0.5701495428224121
X_scGPT,43,imatinib,afatinib,HOS_BONE,829,0.10228316687467953
X_scGPT,43,imatinib,afatinib,HS852T_SKIN,162,0.15451174987051222
X_scGPT,43,imatinib,afatinib,HT1080_SOFT_TISSUE,516,-0.6782114365796383
X_scGPT,43,imatinib,afatinib,HT1197_URINARY_TRACT,74,0.4229988893002591
X_scGPT,43,imatinib,afatinib,HT55_LARGE_INTESTINE,211,-0.008769688685632531
X_scGPT,43,imatinib,afatinib,HUH28_BILIARY_TRACT,139,-0.5130926314848742
X_scGPT,43,imatinib,afatinib,HUH6_LIVER,338,-0.0724881205415613
X_scGPT,43,imatinib,afatinib,HUPT3_PANCREAS,136,0.1927818329278183
X_scGPT,43,imatinib,afatinib,HUPT4_PANCREAS,56,0.03253588516746411
X_scGPT,43,imatinib,afatinib,IALM_LUNG,322,0.3361878295662669
X_scGPT,43,imatinib,afatinib,IGR1_SKIN,725,-0.4057277812853766
