rep,alpha,loss,seed,drug,cell_line,n_cells,within_line_sd,line_mean_pred
X_pca,0.0,mse,42,platin,KPNSI9S_AUTONOMIC_GANGLIA,129,0.008380293005458667,0.9939108514046484
X_pca,0.0,mse,42,platin,SQ1_LUNG,238,0.006200277796711718,0.9862176893638963
X_pca,0.0,mse,42,platin,IALM_LUNG,322,0.01419349138684566,1.0025049944101654
X_pca,0.0,mse,42,platin,BT474_BREAST,125,0.011558004078460068,1.0221922950744629
X_pca,0.0,mse,42,platin,DKMG_CENTRAL_NERVOUS_SYSTEM,271,0.006610421521924859,0.9798654361844503
X_pca,0.0,mse,42,platin,BT549_BREAST,266,0.010675705944036848,0.9921325131466514
X_pca,0.0,mse,42,platin,BICR6_UPPER_AERODIGESTIVE_TRACT,286,0.011017214589414837,0.9809394009880252
X_pca,0.0,mse,42,platin,SH10TC_STOMACH,351,0.008011699590991865,0.9855060850792801
X_pca,0.0,mse,42,platin,UMUC1_URINARY_TRACT,197,0.010009818079740584,0.9785371092975442
X_pca,0.0,mse,42,platin,LS1034_LARGE_INTESTINE,146,0.010880864833364551,0.9967676454210934
X_pca,0.0,mse,42,platin,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,246,0.006472623258457401,0.979556164848126
X_pca,0.0,mse,42,platin,NCIH226_LUNG,235,0.010655469337804797,0.9865716716076466
X_pca,0.0,mse,42,platin,LNCAPCLONEFGC_PROSTATE,129,0.01543218432276915,1.002555060756299
X_pca,0.0,mse,42,platin,RCC10RGB_KIDNEY,233,0.007718530635336286,0.9830041709375995
X_pca,0.0,mse,42,platin,RERFLCAD1_LUNG,243,0.010679167064395341,0.9789908489082085
X_pca,0.0,mse,42,platin,SKMEL2_SKIN,276,0.010801629103989076,0.9951883083668308
X_pca,0.0,mse,42,platin,BICR31_UPPER_AERODIGESTIVE_TRACT,248,0.007439406755648883,0.994253239324016
X_pca,0.0,mse,42,platin,RCM1_LARGE_INTESTINE,128,0.0075206459133173075,0.9829560704529285
X_pca,0.0,mse,42,platin,COV434_OVARY,88,0.011556898938394325,1.02303905446421
X_pca,0.0,mse,42,platin,SNU1079_BILIARY_TRACT,73,0.015100215588586985,0.9868433957230555
X_pca,0.0,mse,42,platin,YD38_UPPER_AERODIGESTIVE_TRACT,624,0.014536779299836903,0.9725938698229117
X_pca,0.0,mse,42,platin,NCIH1299_LUNG,534,0.018127276701217138,0.9955644454625662
X_pca,0.0,mse,42,platin,IGR37_SKIN,347,0.014180277619971541,1.011048903554592
X_pca,0.0,mse,42,platin,BFTC909_KIDNEY,379,0.010082522505525429,0.9817882208522203
X_pca,0.0,mse,42,platin,NCIH460_LUNG,837,0.007674763958255584,0.9969410548073416
X_pca,0.0,mse,42,platin,IGR1_SKIN,725,0.00673374730581026,1.00550466323721
X_pca,0.0,mse,42,platin,VMCUB1_URINARY_TRACT,478,0.01386236083352692,0.9809134946707402
X_pca,0.0,mse,42,platin,JHOC5_OVARY,145,0.010412088431998,0.9885513605742619
X_pca,0.0,mse,42,platin,42MGBA_CENTRAL_NERVOUS_SYSTEM,518,0.012979599723334298,0.9984919868380867
X_pca,0.0,mse,42,platin,HT1080_SOFT_TISSUE,516,0.008593517162664934,0.9843425308318101
X_pca,0.0,mse,42,platin,LI7_LIVER,196,0.015153495953455757,1.0110840541975838
X_pca,0.0,mse,42,platin,A375_SKIN,593,0.0070391275458850065,0.9993298345231286
X_pca,0.0,mse,42,platin,FTC133_THYROID,140,0.0068607337184677444,0.9951560535601207
X_pca,0.0,mse,42,platin,OVK18_OVARY,178,0.009157256229355438,1.0006622511349368
X_pca,0.0,mse,42,platin,ACCMESO1_PLEURA,162,0.016550851307880473,1.0066668862178
X_pca,0.0,mse,42,platin,HMC18_BREAST,293,0.01624817635333985,0.9800782065342718
X_pca,0.0,mse,42,platin,TOV112D_OVARY,78,0.01947629414774697,0.9885231073086078
X_pca,0.0,mse,42,platin,JHH6_LIVER,206,0.006750519526217946,0.9981539391198204
X_pca,0.0,mse,42,platin,A2058_SKIN,294,0.010139485051361249,1.0012822899283196
X_pca,0.0,mse,42,platin,NCIH2110_LUNG,1990,0.010542595049798006,0.9765409706824988
X_pca,0.0,mse,42,platin,NCIH650_LUNG,271,0.008439549651332083,0.9844645910597375
X_pca,0.0,mse,42,platin,EFE184_ENDOMETRIUM,86,0.016170666901934107,0.9895377900711325
X_pca,0.0,mse,42,platin,HUPT3_PANCREAS,136,0.011812209903099873,1.0095016426023316
X_pca,0.0,mse,42,platin,MDAMB361_BREAST,135,0.008557771198066538,1.003047889250296
X_pca,0.0,mse,42,platin,BCPAP_THYROID,152,0.013457246803108143,0.9912753736502246
X_pca,0.0,mse,42,platin,PECAPJ49_UPPER_AERODIGESTIVE_TRACT,202,0.01110144476235778,0.9910391135381
X_pca,0.0,mse,42,platin,EKVX_LUNG,146,0.020968348068279987,0.9787083390640886
X_pca,0.0,mse,42,platin,BICR56_UPPER_AERODIGESTIVE_TRACT,81,0.005928764383861138,0.997888868973579
